pair,param_x,param_y,x,y,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,5.166666666666667,1,nonuniform_instability,0.31934779232249283,-0.09999999999999974,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,5.375,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,5.583333333333334,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,5.791666666666667,1,nonuniform_instability,0.3756232554554917,-0.09999999999999985,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.4142135623730951,6.0,1,nonuniform_instability,0.39271999161505355,-0.10000000000000005,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,1.0,1,stable_homogeneous,-0.09743268477610334,-0.10000000000000173,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,1.2083333333333333,1,stable_homogeneous,-0.09432142291781723,-0.09999999999993929,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,1.4166666666666667,1,stable_homogeneous,-0.08870232642352265,-0.10000000000006441,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,1.625,1,stable_homogeneous,-0.07931313016726847,-0.1000000000001022,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,1.8333333333333335,1,stable_homogeneous,-0.06502165145214577,-0.10000000000003932,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,2.041666666666667,1,stable_homogeneous,-0.04652042571935695,-0.10000000000004013,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,2.25,1,stable_homogeneous,-0.028007517954323616,-0.09999999999997751,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,2.4583333333333335,1,stable_homogeneous,-0.0142078127031627,-0.09999999999999164,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,2.666666666666667,1,stable_homogeneous,-0.004723507266490682,-0.10000000000000071,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,2.875,1,nonuniform_instability,0.017632752605970428,-0.10000000000000014,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,3.0833333333333335,1,nonuniform_instability,0.058255932872306036,-0.09999999999999998,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,3.291666666666667,1,nonuniform_instability,0.10308051094133067,-0.09999999999999984,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,3.5,1,nonuniform_instability,0.14421083165645945,-0.09999999999999983,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,3.7083333333333335,1,nonuniform_instability,0.17991154188525996,-0.09999999999999999,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,3.916666666666667,1,nonuniform_instability,0.21097093788900761,-0.10000000000000003,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,4.125,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,4.333333333333334,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,4.541666666666667,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,4.75,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,4.958333333333334,1,nonuniform_instability,0.32740852722523245,-0.1000000000000002,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,5.166666666666667,1,nonuniform_instability,0.34636074463701894,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,5.375,1,nonuniform_instability,0.36445374575526424,-0.09999999999999976,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,5.583333333333334,1,nonuniform_instability,0.3818181836552485,-0.10000000000000031,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,5.791666666666667,1,nonuniform_instability,0.3985550976831625,-0.09999999999999998,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.6645828455691078,6.0,1,nonuniform_instability,0.41474405141413406,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,1.0,1,stable_homogeneous,-0.0967099995289304,-0.10000000000000256,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,1.2083333333333333,1,stable_homogeneous,-0.09230398913315514,-0.10000000000000234,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,1.4166666666666667,1,stable_homogeneous,-0.08412164157218692,-0.09999999999997071,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,1.625,1,stable_homogeneous,-0.07056781429584104,-0.10000000000000799,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,1.8333333333333335,1,stable_homogeneous,-0.05174705976548079,-0.1000000000000089,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,2.041666666666667,1,stable_homogeneous,-0.03238275059723119,-0.09999999999999284,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,2.25,1,stable_homogeneous,-0.01885971092304288,-0.0999999999999995,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,2.4583333333333335,1,stable_homogeneous,-0.00947090646433744,-0.09999999999999916,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,2.666666666666667,1,nonuniform_instability,0.022525581685235243,-0.0999999999999997,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,2.875,1,nonuniform_instability,0.0688173184036236,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,3.0833333333333335,1,nonuniform_instability,0.11428556901190486,-0.0999999999999996,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,3.291666666666667,1,nonuniform_instability,0.1535512350300782,-0.0999999999999994,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,3.5,1,nonuniform_instability,0.1870354003983703,-0.09999999999999976,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,3.7083333333333335,1,nonuniform_instability,0.21620386869436917,-0.10000000000000007,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,3.916666666666667,1,nonuniform_instability,0.242245309534031,-0.09999999999999964,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,4.125,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,4.333333333333334,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,4.541666666666667,1,nonuniform_instability,0.3085829869066774,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,4.75,1,nonuniform_instability,0.3281008832764295,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,4.958333333333334,1,nonuniform_instability,0.3467144390370743,-0.09999999999999998,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,5.166666666666667,1,nonuniform_instability,0.3645681847922829,-0.09999999999999985,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,5.375,1,nonuniform_instability,0.3817719226451015,-0.09999999999999976,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,5.583333333333334,1,nonuniform_instability,0.39841086489379707,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,5.791666666666667,1,nonuniform_instability,0.414552424609767,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,1.9592769603435267,6.0,1,nonuniform_instability,0.43025086644962346,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,1.0,1,stable_homogeneous,-0.09577389008813487,-0.10000000000003291,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,1.2083333333333333,1,stable_homogeneous,-0.08960911021886857,-0.09999999999997124,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,1.4166666666666667,1,stable_homogeneous,-0.07805344783221257,-0.10000000000000775,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,1.625,1,stable_homogeneous,-0.06002367950650688,-0.10000000000002361,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,1.8333333333333335,1,stable_homogeneous,-0.039507498798913764,-0.10000000000000858,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,2.041666666666667,1,stable_homogeneous,-0.025116514408689564,-0.1000000000000023,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,2.25,1,stable_homogeneous,-0.015841531953804437,-0.1000000000000006,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,2.4583333333333335,1,nonuniform_instability,0.021013093069651594,-0.0999999999999998,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,2.666666666666667,1,nonuniform_instability,0.07006873118554326,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,2.875,1,nonuniform_instability,0.11544435728931547,-0.10000000000000012,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,3.0833333333333335,1,nonuniform_instability,0.1535286730694767,-0.09999999999999976,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,3.291666666666667,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,3.5,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,3.7083333333333335,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,3.916666666666667,1,nonuniform_instability,0.2625523828334956,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,4.125,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,4.333333333333334,1,nonuniform_instability,0.3045469961168064,-0.10000000000000003,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,4.541666666666667,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,4.75,1,nonuniform_instability,0.3424440209463772,-0.09999999999999987,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,4.958333333333334,0,no_positive_fixed_point,,,
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,5.166666666666667,1,nonuniform_instability,0.3774919910657035,-0.09999999999999985,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,5.375,1,nonuniform_instability,0.39418255660164175,-0.1000000000000002,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,5.583333333333334,1,nonuniform_instability,0.41040345205173195,-0.09999999999999998,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,5.791666666666667,1,nonuniform_instability,0.4262035731544287,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.306143078159937,6.0,1,nonuniform_instability,0.4416230656583722,-0.10000000000000009,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.7144176165949068,1.0,1,stable_homogeneous,-0.09456736250843772,-0.10000000000003352,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.7144176165949068,1.2083333333333333,1,stable_homogeneous,-0.08608112878101556,-0.10000000000003961,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.7144176165949068,1.4166666666666667,1,stable_homogeneous,-0.07051676444052846,-0.1000000000001019,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.7144176165949068,1.625,1,stable_homogeneous,-0.0494324060307508,-0.10000000000000848,-3.0
lam_N_x_n_ASC,lam_N,n_ASC,2.7144176165949068,1.8333333333333335,1,stable_homogeneous,-0.03255593835817869,-0.10000000000000643,-3.0
