time,mean_D,std_D,cv_D,relative_contrast_D,q_amp,moran_D
126.0,0.08310914566010312,0.04550714322913583,0.5475587899224635,1.161547600357421,0.14991031421067622,-0.49999999999999983
126.5,0.08315940871215685,0.04558170246049887,0.5481244175060542,1.16274747765737,0.1502201885331756,-0.4999999999999999
127.0,0.08320822978060521,0.045653899059367405,0.5486704762226386,1.163905843121638,0.15051964573918855,-0.5
127.5,0.0832556448515478,0.04572380536591183,0.5491976603801632,1.165024169599797,0.15080903508352253,-0.5000000000000001
128.0,0.08330168936058446,0.04579149166007675,0.5497066387436763,1.166103875756748,0.15108869433943534,-0.5
128.5,0.08334639795736895,0.04585702611648871,0.5501980558289301,1.167146328816869,0.15135895031896718,-0.49999999999999983
129.0,0.08338980495190176,0.045920475049419804,0.5506725321627288,1.1681528451162924,0.1516201188392558,-0.5
129.5,0.08343194378865476,0.045981902739508966,0.5511306659232081,1.1691246935824673,0.15187250546047945,-0.5000000000000001
130.0,0.08347284740051951,0.046041371639582246,0.5515730333082624,1.1700630965157077,0.15211640553643874,-0.5
130.5,0.08351254855989779,0.04609894257475863,0.5520001888302456,1.1709692302143524,0.1523521042343134,-0.5
131.0,0.08355107836004315,0.04615467413324724,0.5524126682644938,1.1718442312295196,0.1525798780295488,-0.5
131.5,0.08358846824847306,0.04620862359833936,0.5528109865703092,1.1726891919548543,0.15279999343641934,-0.5000000000000001
132.0,0.08362474866053983,0.04626084639676347,0.553195640498142,1.173505166157191,0.15301270833307473,-0.4999999999999999
132.5,0.08365994921509189,0.046311396233340185,0.5535671090867195,1.1742931700311268,0.15321827213131398,-0.5
133.0,0.08369409975295723,0.04636032558338702,0.553925852840647,1.1750541804544503,0.1534169252226191,-0.5000000000000002
133.5,0.08372722805070228,0.04640768473729144,0.5542723175928931,1.1757891431817054,0.15360890102489844,-0.4999999999999999
134.0,0.0837593628280944,0.04645352315939082,0.5546069309855048,1.1764989653786668,0.15379442394858026,-0.5
134.5,0.08379053074116488,0.04649788820384981,0.5549301071678996,1.1771845255889173,0.15397371192068823,-0.4999999999999999
135.0,0.08382075917383097,0.046540826389023154,0.5552422436607244,1.1778466670810923,0.15414697457269755,-0.49999999999999983
135.5,0.08385007367549085,0.04658238229283972,0.5555437252579973,1.178486206126568,0.1543144153367666,-0.4999999999999999
136.0,0.08387850039329993,0.046622599680561115,0.555834921487047,1.1791039266111842,0.15447622997225585,-0.4999999999999999
136.5,0.08390606364366796,0.04666152044215499,0.5561161901280104,1.1797005875012203,0.1546326084612467,-0.5
137.0,0.08393278847934016,0.04669918579405909,0.5563878746332129,1.1802769173690795,0.15478373351943192,-0.5
137.5,0.08395869784470701,0.04673563500935948,0.5566503079383552,1.180833622478033,0.1549297826639328,-0.49999999999999983
138.0,0.08398381594031551,0.04677090699940837,0.5569038090939674,1.1813713796364573,0.1550709262916851,-0.5000000000000001
138.5,0.08400816404643108,0.04680503840885506,0.5571486883463618,1.1818908469761598,0.15520733046303567,-0.5
139.0,0.08403176594398985,0.04683806617069957,0.5573852416944183,1.1823926524055806,0.15533915382937252,-0.4999999999999999
139.5,0.08405464081376263,0.046870024210421024,0.557613758819927,1.1828774104325854,0.1554665520126438,-0.49999999999999983
140.0,0.08407681283371875,0.0469009479843895,0.5578345135078672,1.1833457018428093,0.15558967223027942,-0.5
140.5,0.08409830006871911,0.04693086929190552,0.5580477756810419,1.1837980992289714,0.15570865997127928,-0.5000000000000001
141.0,0.08411912288079189,0.04695982019580522,0.5582538023173828,1.1842351477235686,0.15582365390090774,-0.5
141.5,0.08413930233024661,0.046987832491149295,0.5584528417733028,1.1846573741700896,0.15593478824233878,-0.5
142.0,0.08415885074994232,0.04701493270433443,0.5586451369687537,1.185065293879542,0.15604219452941875,-0.49999999999999983
142.5,0.08417779788639429,0.047041155730359524,0.558830913988103,1.1854593864492566,0.1561459952143893,-0.5
143.0,0.08419615622424345,0.0470665269687272,0.5590103999922844,1.1858401337602977,0.15624631364976688,-0.4999999999999999
143.5,0.08421393241693238,0.047091067761473954,0.5591838121076227,1.1862079964070964,0.1563432678616065,-0.49999999999999983
144.0,0.0842311640299332,0.047114815641317226,0.5593513539071364,1.1865634062331645,0.1564369685588733,-0.5
144.5,0.08424785451927831,0.04713778914057823,0.5595132292632065,1.1869067957170347,0.1565275268602708,-0.5000000000000002
145.0,0.08426401982282865,0.047160012943186135,0.5596696317401373,1.1872385754704833,0.15661504834607043,-0.5
145.5,0.08427968093351083,0.047181513981331434,0.5598207475245837,1.1875591404548962,0.15669963467949183,-0.5
146.0,0.08429484846776573,0.04720231301267359,0.5599667580009199,1.1878688754444404,0.15678138503303035,-0.4999999999999999
146.5,0.08430954000110737,0.047222434026837526,0.5601078362687933,1.1881681476386714,0.1568603941248547,-0.5
147.0,0.08432377022514964,0.047241899088043146,0.5602441513455148,1.1884573155771334,0.156936754558428,-0.5
147.5,0.08433754843887409,0.04726072676418835,0.5603758662541849,1.1887367250836431,0.157010555740064,-0.49999999999999983
148.0,0.08435089558778781,0.047278941470703044,0.5605031356365114,1.1890067042022916,0.15708188252918076,-0.5
148.5,0.08436382138226989,0.04729656120626185,0.5606261123705073,1.1892675772356673,0.15715081893583438,-0.5000000000000001
149.0,0.08437633241747063,0.04731360171425731,0.560744943026947,1.18951965510651,0.15721744556514697,-0.49999999999999983
149.5,0.08438845379488707,0.04733008849244041,0.5608597665206664,1.1897632324966336,0.1572818388508082,-0.5
150.0,0.08440019003581656,0.047346035418662384,0.5609707205466047,1.1899986014997788,0.15734407465528846,-0.5000000000000001
150.5,0.08441154836777733,0.04736145743068113,0.5610779371600837,1.190226042245885,0.15740422578390742,-0.5
151.0,0.08442255196356559,0.047376377814127464,0.5611815410954858,1.1904458193343697,0.15746236103315217,-0.4999999999999999
151.5,0.08443320526148979,0.04739080931542672,0.5612816565314238,1.1906581961851,0.15751854897932957,-0.4999999999999999
152.0,0.08444351250872545,0.047404764110794896,0.561378401992653,1.1908634242235525,0.15757285511191244,-0.5000000000000002
152.5,0.08445349890640437,0.04741826567827283,0.5614718903573687,1.191061742896081,0.1576253418307385,-0.5
153.0,0.08446316542818894,0.047431323781963616,0.5615622329746806,1.191253388404157,0.15767607075175466,-0.4999999999999999
153.5,0.08447251817542473,0.047443950711717135,0.5616495368729262,1.1914385877819704,0.15772510113478622,-0.4999999999999999
154.0,0.08448157775080184,0.04745616643678821,0.5617339034170415,1.1916175560478481,0.15777248912407307,-0.5
154.5,0.08449034721945907,0.04746798102317036,0.5618154331864073,1.191790506551224,0.1578182904832152,-0.4999999999999999
