sample_id,lam_D,lam_N,lam_ASC,Kd,n_d,n_ASC,d_D,d_N,d_A,d_ASC,f_D,f_N,k_cis,n_branches,classification,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,D_star,N_star,A_star,ASC_star
1837,0.6721178149357343,2.7493310436513614,9.983226409503205,0.46359444611224493,3.211713689036033,1.6324938711433348,0.2673897075827191,0.08584055498623175,7.480789427010678,0.02106536185681369,0.01730911072413498,5.3760786339489,0.3495838615857924,1,stable_homogeneous,-0.021065361855940556,-0.02106536185686185,-3.0,2.37079599663843,0.035526513524437635,0.36317521882290416,283.56090580671133
1838,4.655036811870073,0.28517711047217414,0.6368994591726422,0.24449851806092113,4.004125117007188,4.389453422927065,0.032630437955716456,0.30780120630786406,0.8291988594860357,0.9194316560613108,0.17084502842100546,0.08969316258839058,0.03752249026753152,1,nonuniform_instability,0.011981684215545288,-0.0535007870181383,-3.0,15.974390500737677,0.03000612987757161,0.31109008767130186,0.17859819571837232
1839,22.48779785419357,0.27266985552223755,0.15967003561314433,0.03734102773960306,2.5420395121821935,5.200203898083023,0.017922090210542543,0.07128274521352991,0.12886898770861796,0.42898729550770004,0.02657422204006642,0.08249488288969567,0.0584657425849334,1,nonuniform_instability,0.263513067084543,-0.013397705403346394,-3.0,0.007784646917591699,3.6071715613737902,0.1078538273842679,0.0014913004675470801
1840,44.43500974170098,8.87098114963113,2.2093696920552732,0.08154269870870008,3.561064255543981,4.986273408961025,0.702440635869977,0.999744692959313,0.10765804113326043,0.42767193314415264,0.022315835823058808,0.17211995969919466,0.5682911263565231,1,nonuniform_instability,0.3746086951260163,-0.20598927631125757,-3.0,0.0033850684995033443,8.825404778299983,0.2865748722931143,0.009785022516313403
1841,12.755164831856515,5.439343299666041,5.800599473961903,0.5450180332342909,3.2227084069858405,2.581862781211099,0.027718895224159407,0.01713787318969543,1.5570950046114482,0.01204441560910631,0.014076316578111663,1.2510954799450604,0.2814163602371205,0,no_positive_fixed_point,,,,,,,
1842,8.036762239611972,1.6992404657182063,0.91235981225006,2.283227162296593,4.651321405676901,2.152797244579849,0.19874385803819136,0.10628221034870614,0.5780980100364262,0.03915094029797899,0.13051873794531907,4.588092785702278,0.47050820705314506,1,stable_homogeneous,-0.03913515251183763,-0.03915097828298134,-3.0,39.9773925124662,0.001517943528578346,2.889695271699826,8.759142184842828
1843,3.7342993394046835,0.8651258848241715,9.055828909186076,0.14383104716522124,5.409257181642387,5.041965800326123,0.19504480305950705,0.05253598592159383,0.5548662203856082,0.1137141242353063,0.2027252450463845,3.1503449429022075,0.14580068517276512,1,nonuniform_instability,0.5790397456440031,-0.05254211800898276,-3.0,0.0017711977903886599,10.027709158704933,0.6050480478424212,0.056876567751019125
1844,12.117615115310405,2.6877914881465514,8.71894918930887,0.2853165806049648,5.95105572547859,3.999364275214255,0.019403840506743906,0.024024183303431774,3.66632156001075,0.5393312679376822,0.00558666481042863,0.06853762284079808,0.18160422955992916,1,stable_homogeneous,-0.019436342968598065,-0.01940386395311252,5.863703305156273,574.1961784048996,0.007895406200535953,0.508492452383867,1.4584038417485592
1845,0.5624596591016839,0.2920591723357556,8.15714099920879,0.0549679666514617,1.633499537435236,4.522509015737391,0.5224044057253284,0.9138054593376549,1.2864615458414448,0.0689575442753014,0.03438741592600185,0.10845516147551307,0.35343209704524753,1,stable_homogeneous,-0.06894588488004472,-0.06896936936998645,-3.0,0.9199557730276886,0.15893589018966817,0.07395943664135704,24.505458780595145
1846,21.820683512004592,1.7456350446951023,0.3273468459311991,0.14345962182590122,5.67574916387051,3.6576602824134703,0.20918027070496206,0.09301649424351076,0.15047527005563463,0.017912838494555897,0.08374678231734735,0.4815682311514436,0.35495716414092554,1,nonuniform_instability,0.0928955550466148,-0.0823668987977717,-3.0,0.002202739100814851,17.427945109269384,0.7371454553775286,0.04579342998400477
