parameter,tier,multiplier,value,n_branches,branch,D_star,N_star,A_star,ASC_star,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,oscillatory
lam_N,tier2,10.0,10.0,1,0,0.004360438108162844,85.30695922252607,1.3391125771874954,0.11118767064359619,0.22880242412261553,-0.09999999999999998,-3.0,False
lam_ASC,tier1,0.5,0.5,1,0,6.5383078450427785,0.03857084826343924,0.9078770872468764,0.17412404666584091,-0.0024629960586613235,-0.0999999999999992,-3.0,False
lam_ASC,tier1,0.5946035575013605,0.5946035575013605,1,0,10.612083350908467,0.023799477462982783,0.9092233387628674,0.20618296448813195,-0.007240139669366846,-0.10000000000000245,-3.0,False
lam_ASC,tier1,0.7071067811865476,0.7071067811865476,1,0,15.93598824481728,0.015861144293165524,0.9099468324188508,0.24463007312007323,-0.013862883593433534,-0.09999999999999452,-3.0,False
lam_ASC,tier1,0.8408964152537145,0.8408964152537145,1,0,22.155791483371615,0.011413521707638598,0.9103521853633545,0.29054080879768496,-0.022379990616787273,-0.0999999999999773,-3.0,False
lam_ASC,tier1,1.0,1.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
lam_ASC,tier1,1.189207115002721,1.189207115002721,1,0,34.311548121002154,0.007372966637548469,0.9107204384836665,0.4104057174043269,-0.04297329115549765,-0.1000000000000075,-3.0,False
lam_ASC,tier1,1.414213562373095,1.414213562373095,1,0,38.92595405057266,0.006499519878851475,0.9108000437578768,0.4879338544191212,-0.05330524562796385,-0.10000000000007069,-3.0,False
lam_ASC,tier1,1.681792830507429,1.681792830507429,1,0,42.28202972609793,0.005983938483737416,0.9108470334546467,0.5801677095222904,-0.06266103144992541,-0.10000000000007019,-3.0,False
lam_ASC,tier1,2.0,2.0,1,0,44.556138934181604,0.005678696551022196,0.9108748529725651,0.6898785350274297,-0.07068754759102033,-0.1000000000000082,-3.0,False
